"","Trajectory","Frame","x","y","z"
"1","1",480,49.714,48.366,0
"2","1",482,49.203,48.265,0
"3","1",484,48.603,48.993,0
"4","1",486,50.407,49.506,0
"5","1",487,49.928,49.848,0
"6","1",488,49.66,50.112,0
"7","1",491,50.68,48.274,0
"8","1",493,50.491,48.864,0
"9","1",494,50.452,48.546,0
"10","2",839,91.852,108.191,0
"11","2",841,88.474,100,0
"12","2",842,88.871,99.299,0
"13","2",843,88.036,100.407,0
"14","2",844,88.601,99.237,0
"15","2",845,88.581,99.166,0
"16","2",846,88.774,99.687,0
"17","2",847,88.331,99.277,0
"18","2",848,88.401,100.216,0
"19","2",849,88.202,100.62,0
"20","3",951,51.288,94.46,0
"21","3",952,51.225,94.544,0
"22","3",953,50.967,93.823,0
"23","3",955,51.124,95.261,0
"24","3",956,51.826,94.923,0
"25","3",957,51.801,95.099,0
"26","3",958,51.272,94.702,0
"27","3",960,50.852,94.968,0
"28","3",962,51.312,94.755,0
"29","3",963,50.79,94.009,0
"30","4",977,51.411,94.801,0
"31","4",978,50.588,94.47,0
"32","4",980,50.956,95.13,0
"33","4",981,50.808,95.227,0
"34","4",982,50.349,95.05,0
"35","4",983,50.5,95.345,0
"36","4",984,50.405,95.305,0
"37","4",985,50.62,95.323,0
"38","4",987,51.122,95.561,0
"39","4",988,51.096,95.046,0
"40","5",1029,51.534,94.801,0
"41","5",1031,51.83,95.653,0
"42","5",1033,52.242,95.461,0
"43","5",1035,51.361,95.546,0
"44","5",1039,51.544,95.277,0
"45","5",1040,51.867,95.268,0
"46","5",1042,52.601,95.297,0
"47","5",1043,52.113,94.668,0
"48","5",1045,52.506,94.46,0
"49","5",1046,52.263,94.327,0
"50","6",1324,78.034,20.365,0
"51","6",1325,77.518,20.012,0
"52","6",1326,77.71,20.226,0
"53","6",1327,77.045,20.387,0
"54","6",1328,77.131,20.377,0
"55","6",1330,77.174,20.824,0
"56","6",1331,77.004,21.341,0
"57","6",1332,76.434,21.088,0
"58","6",1333,76.482,21.081,0
"59","6",1334,76.568,20.466,0
"60","7",1580,53.856,88.368,0
"61","7",1581,53.809,87.681,0
"62","7",1583,53.677,87.567,0
"63","7",1584,54.143,88.228,0
"64","7",1585,53.168,88.057,0
"65","7",1586,53.6,88.626,0
"66","7",1587,53.719,88.085,0
"67","7",1588,54.292,87.383,0
"68","7",1589,54.121,87.696,0
"69","7",1590,53.842,87.482,0
"70","8",2283,89.535,104.934,0
"71","8",2284,88.518,105.461,0
"72","8",2286,89.386,105.422,0
"73","8",2292,88.436,104.665,0
"74","8",2293,88.456,104.746,0
"75","8",2294,87.919,104.96,0
"76","8",2296,87.675,104.339,0
"77","8",2297,88.531,104.541,0
"78","8",2298,88.652,104.316,0
"79","8",2306,88.669,103.734,0
"80","9",2382,89.589,105.582,0
"81","9",2383,90.456,106.321,0
"82","9",2384,90.43,105.753,0
"83","9",2385,89.065,105.236,0
"84","9",2386,90.115,105.57,0
"85","9",2387,90.481,106.501,0
"86","9",2388,90.334,106.27,0
"87","9",2390,89.317,106.148,0
"88","9",2392,89.433,105.056,0
"89","9",2393,89.385,106.038,0
"90","10",2410,95.347,113.946,0
"91","10",2412,89.681,106.07,0
"92","10",2413,89.51,105.311,0
"93","10",2414,89.405,105.436,0
"94","10",2416,90.515,105.355,0
"95","10",2422,90.621,105.341,0
"96","10",2423,91.064,105.862,0
"97","10",2424,90.306,107.27,0
"98","10",2425,90.072,107.343,0
"99","10",2426,91.328,106.467,0
"100","11",2453,89.627,105.674,0
"101","11",2455,89.625,106.276,0
"102","11",2456,90.416,106.138,0
"103","11",2457,90.499,105.714,0
"104","11",2458,90.056,104.53,0
"105","11",2459,91.195,105.341,0
"106","11",2460,90.249,104.853,0
"107","11",2461,90.317,105.304,0
"108","11",2462,91.034,105.254,0
"109","11",2463,90.438,104.403,0
"110","12",2485,91.451,104.769,0
"111","12",2486,91.592,104.92,0
"112","12",2487,90.968,104.78,0
"113","12",2488,90.678,105.081,0
"114","12",2489,90.398,105.389,0
"115","12",2490,90.329,105.411,0
"116","12",2491,90.39,105.993,0
"117","13",2503,89.585,105.199,0
"118","13",2504,89.429,104.388,0
"119","13",2505,89.753,104.406,0
"120","13",2506,89.698,105.382,0
"121","13",2507,89.896,104.684,0
"122","13",2508,89.769,104.678,0
"123","13",2509,89.874,105.376,0
"124","13",2510,89.735,104.821,0
"125","13",2511,88.853,104.984,0
"126","13",2512,90.09,105.159,0
"127","14",3223,97.58,102.485,0
"128","14",3224,97.484,101.591,0
"129","14",3225,98.46,102.129,0
"130","14",3226,98.8,102.372,0
"131","14",3227,98.194,102.206,0
"132","14",3228,97.713,101.202,0
"133","14",3229,98.534,100.613,0
"134","14",3230,98.766,101.956,0
"135","14",3233,99.143,102.312,0
"136","14",3234,99.745,102.375,0
"137","15",3747,53.807,49.61,0
"138","15",3749,53.275,49.66,0
"139","15",3751,53.305,49.465,0
"140","15",3752,52.641,49.243,0
"141","15",3753,52.624,49.494,0
"142","15",3754,52.482,49.486,0
"143","15",3756,53.508,47.768,0
"144","15",3757,55.366,49.995,0
"145","16",5195,54.313,91.312,0
"146","16",5196,54.715,91.422,0
"147","16",5197,54.319,90.773,0
"148","16",5198,54.406,91.138,0
"149","16",5199,55.103,89.956,0
"150","16",5200,55.236,90.624,0
"151","16",5201,54.787,91.253,0
"152","16",5202,56.027,90.75,0
